Time,NAT counts,Tunnels,CPU,%usr,%sys,%idle,Flow_count,Handoffq_ drops,Total,Used,Free,Shared,Buffer,Cached
9:10:15 AM,,,2,47.78,34.44,13.33,,,,,,,,
9:10:15 AM,,,3,55.56,27.27,2.02,,,,,,,,
9:10:15 AM,,,4,21.92,34.25,31.51,,,,,,,,
9:10:15 AM,,,5,20.27,37.84,31.08,,,,,,,,
9:10:15 AM,,,6,31.33,37.35,19.28,,,,,,,,
9:10:15 AM,,,7,27.59,45.98,10.34,,,,,,,,
9:10:18 AM,,,all,32.15,35.55,19.91,,,32935576.0,2495372.0,30440204.0,4785756.0,0.0,953268.0
9:10:18 AM,,,0,29.27,41.46,17.07,,,32935576.0,2495372.0,30440204.0,4785756.0,0.0,953268.0
9:10:18 AM,,,1,51.52,25.25,0,,,32935576.0,2495372.0,30440204.0,4785756.0,0.0,953268.0
9:10:18 AM,,,2,32.5,30,27.5,,,32935576.0,2495372.0,30440204.0,4785756.0,0.0,953268.0
9:10:18 AM,,,3,25.32,39.24,29.11,,,32935576.0,2495372.0,30440204.0,4785756.0,0.0,953268.0
9:10:18 AM,,,4,27.59,36.78,22.99,,,32935576.0,2495372.0,30440204.0,4785756.0,0.0,953268.0
9:10:18 AM,,,5,33.33,33.33,24.14,,,32935576.0,2495372.0,30440204.0,4785756.0,0.0,953268.0
9:10:18 AM,,,6,27.85,37.97,24.05,,,32935576.0,2495372.0,30440204.0,4785756.0,0.0,953268.0
9:10:18 AM,,,7,25.88,42.35,18.82,,,32935576.0,2495372.0,30440204.0,4785756.0,0.0,953268.0
9:10:19 AM,,,all,37.4,37.26,13.42,65537.0,45090672.0,,,,,,
9:10:19 AM,,,0,50,41.67,5.21,65537.0,45090672.0,,,,,,
9:10:19 AM,,,1,53,27,0,65537.0,45090672.0,,,,,,
9:10:19 AM,,,2,32.95,37.5,21.59,65537.0,45090672.0,,,,,,
9:10:19 AM,,,3,35.48,36.56,17.2,65537.0,45090672.0,,,,,,
9:10:19 AM,,,4,34.74,43.16,13.68,65537.0,45090672.0,,,,,,
9:10:19 AM,,,5,32.53,33.73,22.89,65537.0,45090672.0,,,,,,
9:10:19 AM,,,6,31.82,34.09,17.05,65537.0,45090672.0,,,,,,
9:10:19 AM,,,7,25.29,44.83,12.64,65537.0,45090672.0,,,,,,
9:10:20 AM,,,all,40.7,36.64,12.45,,,,,,,,
9:10:20 AM,,,0,26.97,51.69,11.24,,,,,,,,
9:10:20 AM,,,1,57.58,22.22,0,,,,,,,,
9:10:20 AM,,,2,47.83,36.96,9.78,,,,,,,,
9:10:20 AM,,,3,44.94,33.71,15.73,,,,,,,,
9:10:20 AM,,,4,40.22,38.04,15.22,,,,,,,,
9:10:20 AM,,,5,31.76,31.76,23.53,,,,,,,,
9:10:20 AM,,,6,32.1,41.98,16.05,,,,,,,,
9:10:20 AM,,,7,40.91,38.64,10.23,,,,,,,,
9:10:21 AM,,,all,40.63,40.77,8.82,,,,,,,,
9:10:21 AM,,,0,37.78,42.22,7.78,,,,,,,,
9:10:21 AM,,,1,53.47,30.69,0,,,,,,,,
9:10:21 AM,,,2,38.64,38.64,14.77,,,,,,,,
9:10:21 AM,,,3,30,52.22,7.78,,,,,,,,
9:10:21 AM,,,4,38.3,47.87,8.51,,,,,,,,
9:10:21 AM,,,5,52.81,32.58,10.11,,,,,,,,
9:10:21 AM,,,6,38.89,41.11,12.22,,,,,,,,
9:10:21 AM,,,7,33.33,41.67,10.71,,,,,,,,
9:10:22 AM,,,all,38.61,34.23,15.7,,,,,,,,
9:10:22 AM,,,0,32.97,46.15,9.89,,,,,,,,
9:10:22 AM,,,1,48.98,21.43,4.08,,,,,,,,
9:10:22 AM,,,2,24.14,43.68,20.69,,,,,,,,
9:10:22 AM,,,3,32.61,41.3,19.57,,,,,,,,
9:10:22 AM,,,4,79.38,11.34,7.22,,,,,,,,
9:10:22 AM,,,5,22.78,36.71,29.11,,,,,,,,
9:10:22 AM,,,6,31.71,35.37,23.17,,,,,,,,
9:10:22 AM,,,7,28.4,41.98,16.05,,,,,,,,
9:10:23 AM,,,all,37.46,31.34,20.8,,,,,,,,
