Date,Flow_count,Handoffq_drops,,,,,,,,
3:51:50 AM,65780,718801,,,,,,,,
  , ,,,,,,,,,
3:51:50 AM,65780,718801,,,,,,,,
  , ,,,,,,,,,
3:51:51 AM,65780,718801,,,,,,,,
  , ,,,,,,,,,
3:51:52 AM,65780,718801,,,,,,,,
  , ,,,,,,,,,
3:51:52 AM,65780,718801,,,,,,,,
  , ,,,,,,,,,
3:51:53 AM,65784,718801,,,,,,,,
  , ,,,,,,,,,
3:51:54 AM,65784,718801,,,,,,,,
  , ,,,,,,,,,
3:51:54 AM,65784,718801,,,,,,,,
  , ,,,,,,,,,
3:51:54 AM,65784,718801,,,,,,,,
  , ,,,,,,,,,
3:51:56 AM,65784,718801,,,,,,,,
  , ,,,,,,,,,
3:51:57 AM,65786,718801,,,,,,,,
  , ,,,,,,,,,
3:51:57 AM,65787,718801,,,,,,,,
  , ,,,,,,,,,
3:51:58 AM,65788,718801,,,,,,,,
  , ,,,,,,,,,
3:51:59 AM,65789,718801,,,,,,,,
  , ,,,,,,,,,
3:52:00 AM,65791,718801,,,,,,,,
  , ,,,,,,,,,
3:52:00 AM,65791,718801,,,,,,,,
  , ,,,,,,,,,
3:52:01 AM,65792,718801,,,,,,,,
  , ,,,,,,,,,
3:52:01 AM,65792,718801,,,,,,,,
  , ,,,,,,,,,
3:52:02 AM,65792,718801,,,,,,,,
  , ,,,,,,,,,
3:52:02 AM,65793,718801,,,,,,,,
  , ,,,,,,,,,
3:52:03 AM,65794,718801,,,,,,,,
  , ,,,,,,,,,
3:52:03 AM,65794,718801,,,,,,,,
  , ,,,,,,,,,
3:52:03 AM,65795,718801,,,,,,,,
  , ,,,,,,,,,
3:52:03 AM,65795,718801,,,,,,,,
  , ,,,,,,,,,
3:52:04 AM,65795,718801,,,,,,,,
  , ,,,,,,,,,
3:52:04 AM,65795,718801,,,,,,,,
  , ,,,,,,,,,
3:52:07 AM,65781,718801,,,,,,,,
  , ,,,,,,,,,
3:52:07 AM,65781,718801,,,,,,,,
  , ,,,,,,,,,
3:52:07 AM,65781,718801,,,,,,,,
  , ,,,,,,,,,
3:52:08 AM,65782,718801,,,,,,,,
  , ,,,,,,,,,
3:52:08 AM,65782,718801,,,,,,,,
  , ,,,,,,,,,
3:52:09 AM,65782,718801,,,,,,,,
  , ,,,,,,,,,
3:52:10 AM,65782,718801,,,,,,,,
  , ,,,,,,,,,
3:52:11 AM,65782,718801,,,,,,,,
  , ,,,,,,,,,
3:52:11 AM,65782,718801,,,,,,,,
  , ,,,,,,,,,
3:52:12 AM,65782,718801,,,,,,,,
  , ,,,,,,,,,
3:52:12 AM,65782,718801,,,,,,,,
  , ,,,,,,,,,
3:52:13 AM,65785,718801,,,,,,,,
  , ,,,,,,,,,
3:52:13 AM,65785,718801,,,,,,,,
  , ,,,,,,,,,
3:52:15 AM,65786,718801,,,,,,,,
  , ,,,,,,,,,
3:52:16 AM,65786,718801,,,,,,,,
  , ,,,,,,,,,
3:52:17 AM,65786,718801,,,,,,,,
  , ,,,,,,,,,
3:52:17 AM,65787,718801,,,,,,,,
  , ,,,,,,,,,
3:52:18 AM,65788,718801,,,,,,,,
  , ,,,,,,,,,
3:52:18 AM,65789,718801,,,,,,,,
  , ,,,,,,,,,
3:52:18 AM,65789,718801,,,,,,,,
  , ,,,,,,,,,
3:52:18 AM,65789,718801,,,,,,,,
  , ,,,,,,,,,
3:52:19 AM,65789,718801,,,,,,,,
  , ,,,,,,,,,
3:52:21 AM,65789,718801,,,,,,,,
  , ,,,,,,,,,
3:52:22 AM,65790,718801,,,,,,,,
  , ,,,,,,,,,
3:52:22 AM,65790,718801,,,,,,,,
  , ,,,,,,,,,
3:52:22 AM,65790,718801,,,,,,,,
  , ,,,,,,,,,
3:52:23 AM,65791,718801,,,,,,,,
  , ,,,,,,,,,
3:52:23 AM,65791,718801,,,,,,,,
  , ,,,,,,,,,
3:52:23 AM,65791,718801,,,,,,,,
  , ,,,,,,,,,
3:52:23 AM,65791,718801,,,,,,,,
  , ,,,,,,,,,
3:52:23 AM,65791,718801,,,,,,,,
  , ,,,,,,,,,
3:52:23 AM,65791,718801,,,,,,,,
  , ,,,,,,,,,
3:52:24 AM,65791,718801,,,,,,,,
  , ,,,,,,,,,
3:52:26 AM,65791,718801,,,,,,,,
  , ,,,,,,,,,
3:52:27 AM,65794,718801,,,,,,,,
  , ,,,,,,,,,
3:52:28 AM,65795,718801,,,,,,,,
  , ,,,,,,,,,
3:52:29 AM,65795,718801,,,,,,,,
  , ,,,,,,,,,
3:52:29 AM,65795,718801,,,,,,,,
  , ,,,,,,,,,
3:52:29 AM,65795,718801,,,,,,,,
  , ,,,,,,,,,
3:52:29 AM,65795,718801,,,,,,,,
  , ,,,,,,,,,
3:52:29 AM,65795,718801,,,,,,,,
  , ,,,,,,,,,
3:52:30 AM,65795,718801,,,,,,,,
  , ,,,,,,,,,
3:52:33 AM,65801,718801,,,,,,,,
  , ,,,,,,,,,
3:52:33 AM,65801,718801,,,,,,,,
  , ,,,,,,,,,
3:52:33 AM,65801,718801,,,,,,,,
  , ,,,,,,,,,
3:52:34 AM,65802,718801,,,,,,,,
  , ,,,,,,,,,
3:52:35 AM,65771,718801,,,,,,,,
  , ,,,,,,,,,
3:52:35 AM,65771,718801,,,,,,,,
  , ,,,,,,,,,
3:52:36 AM,65771,718801,,,,,,,,
  , ,,,,,,,,,
3:52:36 AM,65771,718801,,,,,,,,
  , ,,,,,,,,,
3:52:36 AM,65771,718801,,,,,,,,
  , ,,,,,,,,,
3:52:37 AM,65774,718801,,,,,,,,
  , ,,,,,,,,,
3:52:39 AM,65774,718801,,,,,,,,
  , ,,,,,,,,,
3:52:40 AM,65774,718801,,,,,,,,
  , ,,,,,,,,,
3:52:40 AM,65774,718801,,,,,,,,
  , ,,,,,,,,,
3:52:41 AM,65774,718801,,,,,,,,
  , ,,,,,,,,,
3:52:41 AM,65774,718801,,,,,,,,
  , ,,,,,,,,,
3:52:42 AM,65775,718801,,,,,,,,
  , ,,,,,,,,,
3:52:44 AM,65778,718801,,,,,,,,
  , ,,,,,,,,,
3:52:45 AM,65778,718801,,,,,,,,
  , ,,,,,,,,,
3:52:45 AM,65778,718801,,,,,,,,
  , ,,,,,,,,,
3:52:46 AM,65778,718801,,,,,,,,
  , ,,,,,,,,,
3:52:46 AM,65778,718801,,,,,,,,
  , ,,,,,,,,,
3:52:46 AM,65780,718801,,,,,,,,
  , ,,,,,,,,,
3:52:47 AM,65781,718801,,,,,,,,
  , ,,,,,,,,,
3:52:48 AM,65781,718801,,,,,,,,
  , ,,,,,,,,,
3:52:48 AM,65781,718801,,,,,,,,
  , ,,,,,,,,,
3:52:50 AM,65781,718801,,,,,,,,
  , ,,,,,,,,,
3:52:51 AM,65781,718801,,,,,,,,
  , ,,,,,,,,,
3:52:52 AM,65784,718801,,,,,,,,
  , ,,,,,,,,,
3:52:52 AM,65784,718801,,,,,,,,
  , ,,,,,,,,,
3:52:52 AM,65784,718801,,,,,,,,
  , ,,,,,,,,,
3:52:53 AM,65784,718801,,,,,,,,
  , ,,,,,,,,,
3:52:54 AM,65784,718801,,,,,,,,
  , ,,,,,,,,,
3:52:56 AM,65784,718801,,,,,,,,
  , ,,,,,,,,,
3:52:57 AM,65788,718801,,,,,,,,
  , ,,,,,,,,,
3:52:58 AM,65788,718801,,,,,,,,
  , ,,,,,,,,,
3:52:59 AM,65789,718801,,,,,,,,
  , ,,,,,,,,,
3:52:59 AM,65790,718801,,,,,,,,
  , ,,,,,,,,,
3:52:59 AM,65792,718801,,,,,,,,
  , ,,,,,,,,,
3:52:59 AM,65792,718801,,,,,,,,
  , ,,,,,,,,,
3:53:00 AM,65792,718801,,,,,,,,
  , ,,,,,,,,,
3:53:00 AM,65792,718801,,,,,,,,
  , ,,,,,,,,,
3:53:01 AM,65793,718801,,,,,,,,
  , ,,,,,,,,,
3:53:02 AM,65795,718801,,,,,,,,
  , ,,,,,,,,,
3:53:04 AM,65796,718801,,,,,,,,
  , ,,,,,,,,,
3:53:05 AM,65764,718801,,,,,,,,
  , ,,,,,,,,,
3:53:05 AM,65764,718801,,,,,,,,
  , ,,,,,,,,,
3:53:06 AM,65767,718801,,,,,,,,
  , ,,,,,,,,,
3:53:06 AM,65767,718801,,,,,,,,
  , ,,,,,,,,,
3:53:09 AM,65767,718801,,,,,,,,
  , ,,,,,,,,,
3:53:11 AM,65768,718801,,,,,,,,
  , ,,,,,,,,,
